lat;lng;CH4;WindDir;WindSpeed
48.876685;2.175765;1.94;323.6;1.7
48.876685;2.175765;1.95;317.7;2.2
48.876685;2.175765;1.92;317.7;2.2
48.876705;2.175806667;1.93;317.7;2.2
48.876705;2.175806667;1.99;316.8;3.4
48.876705;2.175806667;2;316.8;3.4
48.87674167;2.175833333;2.02;316.8;3.4
48.87674167;2.175833333;2;290.8;2.8
48.87674167;2.175833333;2;290.8;2.8
48.87675333;2.175885;1.99;290.8;2.8
48.87675333;2.175885;1.97;302.3;2.9
48.87675333;2.175885;1.96;302.3;2.9
48.87678833;2.175961667;1.98;302.3;2.9
48.87678833;2.175961667;2;289.4;2.9
48.87678833;2.175961667;1.97;289.4;2.9
48.87677667;2.176053333;1.94;289.4;2.9
48.87677667;2.176053333;1.91;291.1;3.1
48.87677667;2.176053333;1.94;291.1;3.1
48.87683333;2.176061667;1.94;291.1;3.1
48.87683333;2.176061667;1.93;300.7;3
48.87683333;2.176061667;1.96;300.7;3
48.876895;2.176003333;1.98;300.7;3
48.876895;2.176003333;1.99;296.6;3
48.876895;2.176003333;2;296.6;3
48.87695833;2.175928333;2.04;296.6;3
48.87695833;2.175928333;2.09;285.9;2.6
48.87695833;2.175928333;2.22;285.9;2.6
48.87701167;2.175865;2.26;285.9;2.6
48.87701167;2.175865;2.28;277.7;2.2
48.87701167;2.175865;2.17;277.7;2.2
48.87705667;2.175818333;2.04;277.7;2.2
48.87705667;2.175818333;1.96;294.8;2.8
48.87705667;2.175818333;1.87;294.8;2.8
48.87708833;2.175773333;1.88;294.8;2.8
48.87708833;2.175773333;1.86;287.5;3.1
48.87708833;2.175773333;1.84;287.5;3.1
48.87711667;2.175728333;1.85;287.5;3.1
48.87711667;2.175728333;1.85;285.5;2.9
48.87711667;2.175728333;1.86;285.5;2.9
48.87715167;2.175716667;1.89;285.5;2.9
48.87715167;2.175716667;1.96;296.8;2.6
48.87715167;2.175716667;2.03;296.8;2.6
48.87718667;2.175666667;2.11;296.8;2.6
48.87718667;2.175666667;2.1;297.3;3
48.87718667;2.175666667;2.11;297.3;3
48.87724667;2.175606667;2.53;297.3;3
48.87724667;2.175606667;2.85;300.2;3.3
48.87724667;2.175606667;2.84;300.2;3.3
48.87733667;2.175545;3.15;300.2;3.3
48.87733667;2.175545;3.14;294;2.7
48.87733667;2.175545;3.07;294;2.7
48.87741667;2.175471667;2.95;294;2.7
48.87741667;2.175471667;3.13;298.5;2.9
48.87741667;2.175471667;3.56;298.5;2.9
48.87749;2.175395;3.31;298.5;2.9
48.87749;2.175395;2.32;307.4;3.2
48.87749;2.175395;2.04;307.4;3.2
48.87757167;2.17532;2.04;307.4;3.2
48.87757167;2.17532;1.98;311.1;2.6
48.87757167;2.17532;2.01;311.1;2.6
48.87763333;2.175233333;2.07;311.1;2.6
48.87763333;2.175233333;2.17;314.7;2.6
48.87763333;2.175233333;2.07;314.7;2.6
48.87766167;2.175096667;1.95;314.7;2.6
48.87766167;2.175096667;2.02;308.2;2.1
48.87766167;2.175096667;2.47;308.2;2.1
48.87762;2.174955;2.49;308.2;2.1
48.87762;2.174955;2.5;300.5;2.1
48.87762;2.174955;2.46;300.5;2.1
48.87757167;2.174808333;2.41;300.5;2.1
48.87757167;2.174808333;2.32;318.6;2.2
48.87757167;2.174808333;2.23;318.6;2.2
48.87750333;2.174646667;2.25;318.6;2.2
48.87750333;2.174646667;2.29;318.2;2.4
48.87750333;2.174646667;2.25;318.2;2.4
48.87742833;2.174526667;2.19;318.2;2.4
48.87742833;2.174526667;2.13;315.5;2.3
48.87742833;2.174526667;2.1;315.5;2.3
48.877345;2.174456667;2.1;315.5;2.3
48.877345;2.174456667;2.11;315.5;2
48.877345;2.174456667;2.12;315.5;2
48.87726167;2.174516667;2.14;315.5;2
48.87726167;2.174516667;2.11;314.8;2.1
48.87726167;2.174516667;2.09;314.8;2.1
48.87718667;2.174591667;2.11;314.8;2.1
48.87718667;2.174591667;2.07;313.2;2.1
48.87718667;2.174591667;2.03;313.2;2.1
48.87713;2.17458;2.03;313.2;2.1
48.87713;2.17458;2.01;301.5;2.1
48.87713;2.17458;2;301.5;2.1
48.87707;2.174551667;2;301.5;2.1
48.87707;2.174551667;2.01;304.1;2.6
48.87707;2.174551667;2;304.1;2.6
48.877035;2.174518333;1.98;304.1;2.6
48.877035;2.174518333;1.96;314.2;3.4
48.877035;2.174518333;2.01;314.2;3.4
48.87700833;2.174496667;2.07;314.2;3.4
48.87700833;2.174496667;2.08;300.3;3.3
48.87700833;2.174496667;2.07;300.3;3.3
48.87700833;2.174476667;2.06;300.3;3.3
48.87700833;2.174476667;2.06;304;3.3
48.87700833;2.174476667;2.04;304;3.3
48.87701167;2.174461667;2.05;304;3.3
48.87701167;2.174461667;2.09;295.9;2.6
48.87701167;2.174461667;2.17;295.9;2.6
48.87701667;2.174446667;2.1;295.9;2.6
48.87701667;2.174446667;2.08;297.7;2.9
48.87701667;2.174446667;2.06;297.7;2.9
48.877025;2.17444;2.06;297.7;2.9
48.877025;2.17444;2.07;304;2.3
48.877025;2.17444;2.09;304;2.3
48.87702667;2.174445;2.14;304;2.3
48.87702667;2.174445;2.11;301.3;2
48.87702667;2.174445;2.08;301.3;2
48.87701833;2.174458333;2.07;301.3;2
48.87701833;2.174458333;2.07;300.7;2.5
48.87701833;2.174458333;2.09;300.7;2.5
48.87696167;2.174525;2.11;300.7;2.5
48.87696167;2.174525;2.14;306.3;2.9
48.87696167;2.174525;2.09;306.3;2.9
48.876925;2.174631667;1.94;306.3;2.9
48.876925;2.174631667;1.77;296;3.1
48.876925;2.174631667;1.73;296;3.1
48.87686167;2.174736667;1.72;296;3.1
48.87686167;2.174736667;1.7;302.6;3.1
48.87686167;2.174736667;1.7;302.6;3.1
48.87679;2.174793333;1.72;302.6;3.1
48.87679;2.174793333;1.77;283;3.2
48.87679;2.174793333;1.78;283;3.2
48.87669833;2.174845;1.76;283;3.2
48.87669833;2.174845;1.82;275.5;2.5
48.87669833;2.174845;2.16;275.5;2.5
48.87661833;2.1749;2.58;275.5;2.5
48.87661833;2.1749;2.63;287.1;2.2
48.87661833;2.1749;2.94;287.1;2.2
48.87654667;2.174946667;2.87;287.1;2.2
48.87654667;2.174946667;2.44;277.8;2.8
48.87654667;2.174946667;1.77;277.8;2.8
48.87648833;2.17503;1.74;277.8;2.8
48.87648833;2.17503;1.76;272.3;2.1
48.87648833;2.17503;1.79;272.3;2.1
48.876495;2.175156667;1.77;272.3;2.1
48.876495;2.175156667;1.82;275.2;2.4
48.876495;2.175156667;1.97;275.2;2.4
48.87651333;2.175295;1.69;275.2;2.4
48.87651333;2.175295;1.71;288.8;2.6
48.87651333;2.175295;1.74;288.8;2.6
48.87656;2.175408333;2.04;288.8;2.6
48.87656;2.175408333;2.04;294.7;3
48.87656;2.175408333;2.02;294.7;3
48.87659167;2.175505;2;294.7;3
48.87659167;2.175505;1.92;300.4;3.1
48.87659167;2.175505;1.78;300.4;3.1
48.87661167;2.175586667;1.71;300.4;3.1
48.87661167;2.175586667;2.05;298.6;2.7
48.87661167;2.175586667;2.36;298.6;2.7
48.876645;2.175675;2.42;298.6;2.7
48.876645;2.175675;2.45;294.5;2.4
48.876645;2.175675;2.5;294.5;2.4
48.87668333;2.175741667;3.02;294.5;2.4
48.87668333;2.175741667;3.61;287.4;2.9
48.87668333;2.175741667;4;287.4;2.9
48.8767;2.175808333;4.11;287.4;2.9
48.8767;2.175808333;4.03;285.6;3.8
48.8767;2.175808333;3.7;285.6;3.8
48.87671;2.175851667;3.31;285.6;3.8
48.87671;2.175851667;3.24;264.9;3.7
48.87671;2.175851667;3.23;264.9;3.7
48.87673667;2.175876667;3.29;264.9;3.7
48.87673667;2.175876667;2.87;274.8;2.8
48.87673667;2.175876667;2.27;274.8;2.8
48.87679;2.175908333;2.04;274.8;2.8
48.87679;2.175908333;2;273.6;2.4
48.87679;2.175908333;1.98;273.6;2.4
48.87679167;2.176006667;1.98;273.6;2.4
48.87679167;2.176006667;1.99;298.4;2.2
48.87679167;2.176006667;2.01;298.4;2.2
48.87682;2.17605;2.02;298.4;2.2
48.87682;2.17605;2.02;301.1;2
48.87682;2.17605;2.02;301.1;2
48.87686333;2.17601;2.04;301.1;2
48.87686333;2.17601;2.08;295.7;3.3
48.87686333;2.17601;2.1;295.7;3.3
48.87690667;2.175975;2.22;295.7;3.3
48.87690667;2.175975;2.25;297.6;3.3
48.87690667;2.175975;2.36;297.6;3.3
48.87698833;2.175898333;2.48;297.6;3.3
48.87698833;2.175898333;2.57;270;2.7
48.87698833;2.175898333;2.55;270;2.7
48.87706667;2.175825;2.53;270;2.7
48.87706667;2.175825;2.53;251;2.4
48.87706667;2.175825;2.55;251;2.4
48.87711;2.175773333;2.59;251;2.4
48.87711;2.175773333;2.57;261.1;2.4
48.87711;2.175773333;2.62;261.1;2.4
48.877135;2.175753333;2.56;261.1;2.4
48.877135;2.175753333;2.47;257.4;2.5
48.877135;2.175753333;2.41;257.4;2.5
48.87714667;2.175748333;2.46;257.4;2.5
48.87714667;2.175748333;2.51;257.9;1.9
48.87714667;2.175748333;2.54;257.9;1.9
48.87715667;2.175736667;2.54;257.9;1.9
48.87715667;2.175736667;2.52;253;3
48.87715667;2.175736667;2.41;253;3
48.87718333;2.175701667;2.28;253;3
48.87718333;2.175701667;2.14;264.1;2.7
48.87718333;2.175701667;2.08;264.1;2.7
48.87723;2.175668333;2.04;264.1;2.7
48.87723;2.175668333;2.02;259.5;2.6
48.87723;2.175668333;2.02;259.5;2.6
48.87725167;2.175651667;2.01;259.5;2.6
48.87725167;2.175651667;2;256.9;3
48.87725167;2.175651667;1.99;256.9;3
48.87724667;2.175606667;2.02;256.9;3
48.87724667;2.175606667;2.04;259.9;2.8
48.87724667;2.175606667;2.07;259.9;2.8
48.87724667;2.17563;2.1;259.9;2.8
48.87724667;2.17563;2.23;266.7;3.1
48.87724667;2.17563;2.31;266.7;3.1
48.87719833;2.175683333;2.33;266.7;3.1
48.87719833;2.175683333;2.44;260.6;3.3
48.87719833;2.175683333;2.5;260.6;3.3
48.87714833;2.175713333;2.52;260.6;3.3
48.87714833;2.175713333;2.54;275.4;2.6
48.87714833;2.175713333;2.57;275.4;2.6
48.87710667;2.175765;2.56;275.4;2.6
48.87710667;2.175765;2.55;289.6;2.8
48.87710667;2.175765;2.46;289.6;2.8
48.87709833;2.17582;2.37;289.6;2.8
48.87709833;2.17582;2.32;277.2;2.2
48.87709833;2.17582;2.16;277.2;2.2
48.87710667;2.175835;2.08;277.2;2.2
48.87710667;2.175835;2.04;280.3;2.2
48.87710667;2.175835;2.02;280.3;2.2
48.87708333;2.175895;2.02;280.3;2.2
48.87708333;2.175895;2.04;294.7;2.1
48.87708333;2.175895;2.05;294.7;2.1
48.87707333;2.175905;2.07;294.7;2.1
48.87707333;2.175905;2.09;299.7;2.4
48.87707333;2.175905;2.09;299.7;2.4
48.87706833;2.175891667;2.08;299.7;2.4
48.87706833;2.175891667;2.09;287;2.1
48.87706833;2.175891667;2.14;287;2.1
48.87706833;2.175883333;2.23;287;2.1
48.87706833;2.175883333;2.22;298.1;2
48.87706833;2.175883333;2.15;298.1;2
48.87706667;2.175876667;2.09;298.1;2
48.87706667;2.175876667;2.07;269.1;1.6
48.87706667;2.175876667;2.07;269.1;1.6
48.877065;2.175873333;2.08;269.1;1.6
48.877065;2.175873333;2.1;294.5;2.4
48.877065;2.175873333;2.14;294.5;2.4
48.877065;2.17587;2.1;294.5;2.4
48.877065;2.17587;2.07;287;2.2
48.877065;2.17587;2.06;287;2.2
48.877065;2.17587;2.08;287;2.2
48.877065;2.17587;2.1;286.8;2.5
48.877065;2.17587;2.12;286.8;2.5
48.87706833;2.17587;2.09;286.8;2.5
48.87706833;2.17587;2.1;276.1;1.9
48.87706833;2.17587;2.11;276.1;1.9
48.87707;2.175865;2.16;276.1;1.9
48.87707;2.175865;2.2;299.3;1.6
48.87707;2.175865;2.24;299.3;1.6
